date,Australia,Austria,Bahrain,Belgium,Bermuda,Brazil,Canada,Channel Islands,Cyprus,Czech Republic,Denmark,EIRE,European Community,Finland,France,Germany,Greece,Hong Kong,Iceland,Israel,Italy,Japan,Korea,Lebanon,Lithuania,Malta,Netherlands,Nigeria,Norway,Poland,Portugal,RSA,Saudi Arabia,Singapore,Spain,Sweden,Switzerland,Thailand,USA,United Arab Emirates,United Kingdom,Unspecified,West Indies
2009-12-01,200,0,0,1,0,0,0,0,0,0,0,737,0,0,662,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1403,0,0,0,0,0,0,0,1,0,23346,0,0
2009-12-02,0,0,0,0,0,0,0,0,0,0,480,0,0,0,265,10,0,0,0,0,0,191,0,0,0,0,3792,47,0,0,0,0,0,0,0,0,0,0,0,0,27377,0,0
2009-12-03,0,0,0,0,0,0,0,0,0,0,0,203,0,0,276,10,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,2,0,0,0,0,0,50888,0,0
2009-12-04,0,0,0,0,0,0,0,439,0,0,0,0,0,0,243,0,0,0,0,0,5,0,0,0,0,0,281,0,0,0,0,0,0,0,505,0,0,0,0,0,19958,0,0
2009-12-05,0,0,0,0,0,0,0,0,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4722,0,0
2009-12-06,0,0,0,142,0,0,0,0,0,0,0,0,0,0,388,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10988,0,0
2009-12-07,4,0,0,0,0,0,0,0,0,0,0,544,0,0,64,572,441,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,71,0,0,0,0,0,16341,0,0
2009-12-08,3,309,0,0,0,0,0,0,0,0,4,430,0,0,337,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,172,0,0,0,0,0,0,0,0,0,25706,0,0
2009-12-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,17183,0,0
2009-12-10,0,0,0,10,0,0,0,7,0,0,0,147,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,23405,0,0
2009-12-11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21733,0,0
2009-12-13,0,0,0,0,0,0,0,0,0,0,0,136,0,134,1038,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11347,0,0
2009-12-14,0,0,0,0,0,0,0,0,482,0,0,28,0,0,0,2361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42788,0,0
2009-12-15,0,0,0,0,0,0,0,0,0,0,96,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26181,0,0
2009-12-16,0,0,0,0,0,0,0,0,424,0,0,408,0,0,0,0,0,0,0,0,157,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,24096,0,0
2009-12-17,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,220,0,0,0,15013,0,0
2009-12-18,60,0,0,0,0,0,0,0,517,0,0,1356,0,0,0,106,0,0,0,0,0,0,0,0,0,0,6560,0,0,0,0,0,0,0,0,0,0,0,0,0,8973,0,0
2009-12-20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,763,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5402,0,0
2009-12-21,0,0,0,0,0,0,0,0,0,0,0,4512,0,0,58,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4149,0,0
2009-12-22,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14467,0,0
2009-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2128,0,0,0,0,0,2478,0,0
2010-01-04,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10717,0,0
2010-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11365,0,0
2010-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7472,0,0
2010-01-07,0,0,0,0,0,0,0,0,0,0,0,26032,0,0,1888,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12877,0,0
2010-01-08,0,0,0,190,0,0,0,0,0,0,0,337,0,0,1707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10474,0,0
2010-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,0,0,13143,0,0
2010-01-11,0,0,0,0,0,0,0,0,0,0,452,150,0,0,0,315,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,2,0,0,0,383,0,12625,0,0
2010-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20202,0,0
2010-01-13,0,0,0,1,0,0,0,0,0,0,0,3,0,0,399,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8042,0,0
2010-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13419,0,0
2010-01-15,0,0,0,482,0,0,0,0,0,0,0,0,0,262,0,116,0,0,0,0,0,1,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,7530,0,0
2010-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10043,0,0
2010-01-18,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10198,0,0
2010-01-19,0,0,0,0,0,0,0,0,0,0,0,348,0,0,645,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,0,14107,95,0
2010-01-20,0,0,0,0,0,0,0,0,0,0,0,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1432,0,0,0,0,8476,0,0
2010-01-21,0,0,0,0,0,0,0,0,0,0,63302,1358,0,0,0,0,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7568,0,0
2010-01-22,0,0,0,0,0,0,0,0,0,0,0,1044,0,0,0,1267,0,0,0,0,0,0,0,0,0,0,7308,0,0,0,0,0,0,0,434,0,0,0,0,0,8646,0,0
2010-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8574,0,0
2010-01-25,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,22,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9862,0,0
2010-01-26,0,0,0,45,0,0,0,0,32,0,0,14,0,3,425,1620,0,0,0,0,1,0,0,0,0,0,12833,1,0,0,2,0,0,0,4,0,0,0,0,0,8208,1,0
2010-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,0,0,0,569,0,16675,287,0
2010-01-28,0,0,0,0,0,0,0,2,0,0,0,627,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10999,0,0
2010-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,10336,0,0
2010-01-31,0,0,0,0,0,0,0,0,0,0,0,550,0,0,304,802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,9051,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,0,0,0,0,0,98,0,0,0,607,0,0,0,0,199,0,0,0,253,0,0,0,0,0,7723,0,0
2010-02-02,0,0,159,0,0,0,0,0,0,0,0,1320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9720,0,0
2010-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,48,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,591,0,0,40,0,0,0,0,0,9293,0,0
2010-02-04,0,208,0,0,0,0,0,0,0,0,0,0,0,0,1,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12463,0,0
2010-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10864,0,0
2010-02-07,0,0,0,87,0,0,0,0,0,0,0,5116,0,0,569,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5469,0,0
2010-02-08,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1388,6881,0,0
2010-02-09,0,172,0,0,0,0,0,0,0,0,0,0,0,0,2577,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7154,0,0
2010-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,41,0,0,0,0,3763,0,0
2010-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0,8076,0,0
2010-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6724,0,0
2010-02-14,425,0,0,0,0,0,0,0,0,0,0,918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9639,0,0
2010-02-15,0,0,0,618,0,0,0,0,288,0,83774,135,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11505,0,0
2010-02-16,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304,0,0,0,0,15193,0,0
2010-02-17,0,0,0,0,0,0,0,0,0,0,11960,1190,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14487,0,0
2010-02-18,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,102,0,0,0,0,0,0,0,0,0,0,8621,0,0,0,0,0,0,0,0,0,0,0,0,0,11445,0,0
2010-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12755,0,0
2010-02-21,132,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6024,0,0
2010-02-22,67,100,0,0,0,0,0,0,6,0,0,340,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798,12143,0,0
2010-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,170,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11178,0,0
2010-02-24,0,0,0,0,0,0,0,0,0,0,0,1879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,0,0,0,0,0,0,0,0,7152,0,0,0,0,12867,0,0
2010-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26453,0,0
2010-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935,0,0,0,0,0,0,0,0,0,0,0,0,0,6968,0,0
2010-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8234,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,100,0,0,194,0,0,0,0,209,0,0,0,0,0,20779,0,0
